code,occupation_primary,industry,state,state_name,rate,rate_type,effective_date,rating_authority,is_top_50_code,state_is_indep_bureau,state_is_monopolistic
0005,Farm — nursery,agriculture,AK,Alaska,1.64,loss_cost,2024-01-01,National Council on Compensation,True,False,False
0008,Farm - Poultry or Egg Producers,agriculture,AK,Alaska,1.39,loss_cost,2024-01-01,National Council on Compensation,False,False,False
0016,Farm - Vegetable Growing,agriculture,AK,Alaska,2.24,loss_cost,2024-01-01,National Council on Compensation,False,False,False
0034,Farm — poultry,agriculture,AK,Alaska,2.6,loss_cost,2024-01-01,National Council on Compensation,True,False,False
0035,Farm - Grain or Seed Growing,agriculture,AK,Alaska,1.16,loss_cost,2024-01-01,National Council on Compensation,False,False,False
0036,Farm — dairy,agriculture,AK,Alaska,2.77,loss_cost,2024-01-01,National Council on Compensation,True,False,False
0037,Farm - Sugar Cane Growing,agriculture,AK,Alaska,2.24,loss_cost,2024-01-01,National Council on Compensation,False,False,False
0042,Landscape gardening,landscaping,AK,Alaska,3.51,loss_cost,2024-01-01,National Council on Compensation,True,False,False
0050,Farm - Sod Farming,agriculture,AK,Alaska,3.06,loss_cost,2024-01-01,National Council on Compensation,False,False,False
0079,Berry and Vegetable Farming,agriculture,AK,Alaska,1.39,loss_cost,2024-01-01,National Council on Compensation,False,False,False
0083,Flower Growing,agriculture,AK,Alaska,2.77,loss_cost,2024-01-01,National Council on Compensation,False,False,False
0106,Potato Farming,agriculture,AK,Alaska,4.64,loss_cost,2024-01-01,National Council on Compensation,False,False,False
0113,Sugar Beet Farming,agriculture,AK,Alaska,2.6,loss_cost,2024-01-01,National Council on Compensation,False,False,False
0124,Cotton Seed Oil Milling,manufacturing,AK,Alaska,5.9,loss_cost,2024-01-01,National Council on Compensation,False,False,False
0170,Farming - Aquaculture,agriculture,AK,Alaska,2.6,loss_cost,2024-01-01,National Council on Compensation,False,False,False
0251,Silviculture,agriculture,AK,Alaska,2.09,loss_cost,2024-01-01,National Council on Compensation,False,False,False
0401,Apiary Farm,agriculture,AK,Alaska,5.97,loss_cost,2024-01-01,National Council on Compensation,False,False,False
0771 N,Landscape Gardening,agriculture,AK,Alaska,0.22,loss_cost,2024-01-01,National Council on Compensation,False,False,False
0908,Nut Farm,agriculture,AK,Alaska,61.77,pure_premium,2024-01-01,National Council on Compensation,False,False,False
0908 P,Nut Farm,agriculture,AK,Alaska,83,loss_cost,2024-01-01,National Council on Compensation,False,False,False
0913,"Aquaculture, Shellfish",agriculture,AK,Alaska,224.55,pure_premium,2024-01-01,National Council on Compensation,False,False,False
0913 P,"Aquaculture, Shellfish",agriculture,AK,Alaska,300,loss_cost,2024-01-01,National Council on Compensation,False,False,False
0917,Domestic service — inside,cleaning,AK,Alaska,1.99,loss_cost,2024-01-01,National Council on Compensation,True,False,False
1005,Underground Coal Mining,mining,AK,Alaska,0.45,loss_cost,2024-01-01,National Council on Compensation,False,False,False
1016,Surface Coal Mining,mining,AK,Alaska,3.604,pure_premium,2024-01-01,National Council on Compensation,False,False,False
1164,"Stone, Sand, or Gravel Quarry",mining,AK,Alaska,0.8,pure_premium,2024-01-01,National Council on Compensation,False,False,False
1164 D,"Stone, Sand, or Gravel Quarry",mining,AK,Alaska,1.43,loss_cost,2024-01-01,National Council on Compensation,False,False,False
1165,"Stone, Sand, Gravel Processing",mining,AK,Alaska,0.64,pure_premium,2024-01-01,National Council on Compensation,False,False,False
1165 D,"Stone, Sand, Gravel Processing",mining,AK,Alaska,1.14,loss_cost,2024-01-01,National Council on Compensation,False,False,False
1320,Surface Metal Mining,mining,AK,Alaska,0.49,loss_cost,2024-01-01,National Council on Compensation,False,False,False
1322,Metal Ore Milling or Concentrating,mining,AK,Alaska,2.39,loss_cost,2024-01-01,National Council on Compensation,False,False,False
